sample,length,length_covered,coverage,number_bp,number_reads
ViromeJuly8,162109,3.711083283,0,6548,52
ViromeAug4,162109,84.02001123,21,3405996,27052
ViromeSept29,162109,66.8809258,1,256535,2037
ViromeOct20,162109,26.40137192,0,53878,428
